euler, , , , rk2, , , , rk4 , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
1.0E-4, -4.0, 0.0688116331777925, -1.1623381344703327,1.0E-4, -4.0, 0.06869588265094717, -1.1630692919878962,1.0E-4, -4.0, 0.06869587448704696, -1.1630693435999708
1.1111111111111112E-4, -3.9542425094393248, 0.06882449456542795, -1.1622569693026177,1.1111111111111112E-4, -3.9542425094393248, 0.06869588456585342, -1.1630692798818838,1.1111111111111112E-4, -3.9542425094393248, 0.06869587448704607, -1.1630693435999764
1.25E-4, -3.9030899869919438, 0.0688405711051569, -1.1621555353986697,1.25E-4, -3.9030899869919438, 0.0686958872428923, -1.1630692629576795,1.25E-4, -3.9030899869919438, 0.06869587448705264, -1.163069343599935
1.4285714285714287E-4, -3.845098040014257, 0.06886124062347054, -1.162025157189379,1.4285714285714287E-4, -3.845098040014257, 0.0686958911475068, -1.1630692382727594,1.4285714285714287E-4, -3.845098040014257, 0.0686958744870393, -1.1630693436000192
1.6666666666666666E-4, -3.778151250383644, 0.068888799422635, -1.1618513839612814,1.6666666666666666E-4, -3.778151250383644, 0.06869589716337286, -1.1630692002405383,1.6666666666666666E-4, -3.778151250383644, 0.06869587448704591, -1.1630693435999775
2.0E-4, -3.6989700043360187, 0.06892738066588747, -1.1616082249725987,2.0E-4, -3.6989700043360187, 0.06869590714009992, -1.1630691371678168,2.0E-4, -3.6989700043360187, 0.06869587448704077, -1.16306934360001
2.5E-4, -3.6020599913279625, 0.06898525016839424, -1.1612437564401346,2.5E-4, -3.6020599913279625, 0.06869592550544969, -1.16306902106237,2.5E-4, -3.6020599913279625, 0.06869587448704303, -1.1630693435999957
3.333333333333333E-4, -3.4771212547196626, 0.06908169299974563, -1.1606370276269047,3.333333333333333E-4, -3.4771212547196626, 0.06869596518055728, -1.1630687702370817,3.333333333333333E-4, -3.4771212547196626, 0.06869587448704738, -1.1630693435999682
5.0E-4, -3.3010299956639813, 0.06927455462293221, -1.1594262576846652,5.0E-4, -3.3010299956639813, 0.06869607852099166, -1.1630680537017728,5.0E-4, -3.3010299956639813, 0.06869587448704761, -1.1630693435999668
0.001, -3.0, 0.06985294192596926, -1.1558152984215353,0.001, -3.0, 0.06869669030539746, -1.1630641860369193,0.001, -3.0, 0.06869587448703618, -1.163069343600039
