euler, , , , rk2, , , , rk4 , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
1.0E-4, -4.0, 1.4978281303420924E-4, -3.824538017294968,1.0E-4, -4.0, 2.7252336085201504E-5, -4.564596263830378,1.0E-4, -4.0, 2.724416865703942E-5, -4.564726439849022
1.1111111111111112E-4, -3.9542425094393248, 1.6353830388947914E-4, -3.786380510774079,1.1111111111111112E-4, -3.9542425094393248, 2.725425182714954E-5, -4.5645657355515405,1.1111111111111112E-4, -3.9542425094393248, 2.7244168656089137E-5, -4.56472643986417
1.25E-4, -3.9030899869919438, 1.8073793046910662E-4, -3.74295069489474,1.25E-4, -3.9030899869919438, 2.7256930039526005E-5, -4.564523060532671,1.25E-4, -3.9030899869919438, 2.7244168662709743E-5, -4.5647264397586325
1.4285714285714287E-4, -3.845098040014257, 2.028578121223275E-4, -3.6928082628115666,1.4285714285714287E-4, -3.845098040014257, 2.726083637652717E-5, -4.564460823918132,1.4285714285714287E-4, -3.845098040014257, 2.724416864935593E-5, -4.564726439971504
1.6666666666666666E-4, -3.778151250383644, 2.323579396143841E-4, -3.6338424831945644,1.6666666666666666E-4, -3.778151250383644, 2.726685492166279E-5, -4.564364952595145,1.6666666666666666E-4, -3.778151250383644, 2.7244168655971413E-5, -4.564726439866047
2.0E-4, -3.6989700043360187, 2.73665763200196E-4, -3.562779531355948,2.0E-4, -3.6989700043360187, 2.7276836159117997E-5, -4.564206004921753,2.0E-4, -3.6989700043360187, 2.7244168650830696E-5, -4.564726439947995
2.5E-4, -3.6020599913279625, 3.356346252680532E-4, -3.4741332421605042,2.5E-4, -3.6020599913279625, 2.7295210031346954E-5, -4.563913559533361,2.5E-4, -3.6020599913279625, 2.7244168653066033E-5, -4.564726439912361
3.333333333333333E-4, -3.4771212547196626, 4.3891666949204695E-4, -3.3576179248945173,3.333333333333333E-4, -3.4771212547196626, 2.7334904519300514E-5, -4.563282438758462,3.333333333333333E-4, -3.4771212547196626, 2.724416865744986E-5, -4.56472643984248
5.0E-4, -3.3010299956639813, 6.454383560982116E-4, -3.1901452295939783,5.0E-4, -3.3010299956639813, 2.744830757028021E-5, -4.561484428465177,5.0E-4, -3.3010299956639813, 2.7244168657677148E-5, -4.564726439838856
0.001, -3.0, 0.0012644712991062702, -2.898091023797815,0.001, -3.0, 2.8060610451126357E-5, -4.5519028852438,0.001, -3.0, 2.7244168646072573E-5, -4.5647264400238425
