1.0E-4, -4.0, 1.9081445772975505E-5, -4.71938872253352
1.099E-4, -3.9590023075765095, 1.0234602486224138E-5, -4.989929020748612
1.198E-4, -3.9215431819467073, 1.2619596986255542E-5, -4.89895451430267
1.297E-4, -3.88706002391592, 1.0793049219464092E-5, -4.9668558424248825
1.396E-4, -3.855114581712858, 2.1067430523391903E-5, -4.676388429629685
1.495E-4, -3.8253588073395517, 2.3835356137631973E-5, -4.622778354647245
1.594E-4, -3.7975116829399065, 2.660984458670488E-5, -4.574957661913609
1.693E-4, -3.7713430418910647, 1.665542881404019E-5, -4.778444181395259
1.792E-4, -3.7466619946738935, 2.9438874922282733E-5, -4.531078791630089
1.891E-4, -3.72330847115496, 3.681806410354565E-5, -4.43393905046673
1.9899999999999999E-4, -3.701146923590293, 3.317256621606273E-5, -4.479220930338645
2.0889999999999998E-4, -3.6800615600196913, 3.43600809342871E-5, -4.463945821870106
2.1879999999999998E-4, -3.659952682338607, 3.6911171992078084E-5, -4.432842165001807
2.2869999999999998E-4, -3.6407338353932515, 3.9234408841632774E-5, -4.406332886670171
2.3859999999999997E-4, -3.622329560665677, 3.83788395871447E-5, -4.415908160619789
2.4849999999999997E-4, -3.6046736069306493, 2.9329404482522525E-5, -4.532696755041268
2.584E-4, -3.5877074906769537, 3.896681006971243E-5, -4.409305145293403
2.683E-4, -3.571379327328061, 3.4912828928500365E-5, -4.457014959600005
2.7820000000000004E-4, -3.5556428743439725, 4.225695072421689E-5, -4.3741018449889975
2.8810000000000006E-4, -3.540456741719587, 3.9920323315126154E-5, -4.398805950014761
2.980000000000001E-4, -3.5257837359237447, 4.732322721782046E-5, -4.32492564622711
3.079000000000001E-4, -3.5115903110968016, 6.224223447981068E-5, -4.205914824681083
3.1780000000000014E-4, -3.497846107128639, 5.880379956544231E-5, -4.230594611389965
3.2770000000000016E-4, -3.484523558617624, 4.5158261347547374E-5, -4.345262787333914
3.376000000000002E-4, -3.4715975620463824, 5.390323837948934E-5, -4.268385142640817
3.475000000000002E-4, -3.459045191073867, 5.440868435128138E-5, -4.264331775580712
3.5740000000000023E-4, -3.446845451830374, 5.671995656396864E-5, -4.246264110406724
3.6730000000000025E-4, -3.434979071654706, 5.8825512460175234E-5, -4.230434280766358
3.772000000000003E-4, -3.423428315934709, 7.139650025028218E-5, -4.146323076168392
3.871000000000003E-4, -3.4121768286810448, 6.435649675387517E-5, -4.191407604751221
3.970000000000003E-4, -3.4012094932368844, 5.928289148026889E-5, -4.227070622112052
4.0690000000000035E-4, -3.3905123101467143, 6.158073622699342E-5, -4.2105551232046725
4.168000000000004E-4, -3.3800722897085316, 6.344957711466738E-5, -4.197571268090607
4.267000000000004E-4, -3.3698773571406875, 7.09206408738569E-5, -4.149227348554452
4.366000000000004E-4, -3.359916268626879, 7.575439432395938E-5, -4.120592169752462
4.4650000000000044E-4, -3.3501785367754344, 6.970678709113418E-5, -4.156724934201491
4.5640000000000047E-4, -3.3406543642538225, 8.176523748707345E-5, -4.08743129750678
4.663000000000005E-4, -3.3313345845455076, 9.656159122676973E-5, -4.015195586165558
4.762000000000005E-4, -3.3222106089311385, 7.59707964122966E-5, -4.119353320803128
4.8610000000000054E-4, -3.3132743789254575, 9.380451409925158E-5, -4.027776261821104
4.960000000000006E-4, -3.304518323509802, 8.926147068520054E-5, -4.049335961936388
5.059000000000005E-4, -3.295935320591432, 9.387129702946558E-5, -4.027467181400702
5.158000000000005E-4, -3.2875186621980808, 9.803966385183195E-5, -4.008598186481004
5.257000000000005E-4, -3.2792620229815745, 1.0107194717076057E-4, -3.9953693674507873
5.356000000000004E-4, -3.271159431660028, 8.944680156334406E-5, -4.048435184310976
5.455000000000004E-4, -3.263205245075639, 9.859237345311637E-5, -4.0061566783177085
5.554000000000004E-4, -3.2553941245857607, 1.0506613480794024E-4, -3.978537244352919
5.653000000000004E-4, -3.247721014539881, 9.596159741858308E-5, -4.017902531188767
5.752000000000003E-4, -3.2401811226251738, 1.0605110614332326E-4, -3.974484797308323
5.851000000000003E-4, -3.2327699018892817, 1.001506149388995E-4, -3.999346379732853
5.950000000000003E-4, -3.2254830342714502, 1.1254523229357229E-4, -3.9486728981085966
6.049000000000002E-4, -3.218316415492649, 1.0844262896310508E-4, -3.9647999624090553
6.148000000000002E-4, -3.2112661411722923, 1.2182615099879036E-4, -3.914259476765367
6.247000000000002E-4, -3.204328494053978, 1.1815522761747756E-4, -3.9275470588373715
6.346000000000001E-4, -3.1974999322356066, 1.2045654958970965E-4, -3.919169581109079
6.445000000000001E-4, -3.190777078310578, 1.1613980349571362E-4, -3.935018913112402
6.544000000000001E-4, -3.1841567093367336, 1.2747413782701326E-4, -3.894577916706924
6.643E-4, -3.1776357475584507, 1.3393266117448004E-4, -3.8731135018665173
6.742E-4, -3.171211251815047, 1.325666280563389E-4, -3.8775657902229055
6.841E-4, -3.1648804095754506, 1.362692968380353E-4, -3.8656019850742576
6.94E-4, -3.158640529545145, 1.3124745596484452E-4, -3.881909105987817
7.038999999999999E-4, -3.152489034796752, 1.3083121286692172E-4, -3.883288632473992
7.137999999999999E-4, -3.1464234563803584, 1.3498866818776716E-4, -3.869702687431523
7.236999999999999E-4, -3.1404414273739465, 1.437481355455878E-4, -3.8423977795253865
7.335999999999998E-4, -3.1345406773380353, 1.4240881893822578E-4, -3.8464631153507445
7.434999999999998E-4, -3.128719027142027, 1.452086313053455E-4, -3.83800756809272
7.533999999999998E-4, -3.1229743841327515, 1.5215456240776665E-4, -3.8177150206386434
