euler, , , , rk2, , , , rk4 , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
0.02, -1.6989700043360187, 0.0039239999999997055, -2.406271001292122,0.02, -1.6989700043360187, 2.220446049250313E-16, -15.653559774527022,0.02, -1.6989700043360187, 2.220446049250313E-16, -15.653559774527022
0.022222222222222223, -1.6532125137753437, 0.004359999999999642, -2.3605135107314497,0.022222222222222223, -1.6532125137753437, 3.3306690738754696E-16, -15.47746851547134,0.022222222222222223, -1.6532125137753437, 4.440892098500626E-16, -15.35252977886304
0.025, -1.6020599913279623, 0.004904999999999715, -2.309360988284058,0.025, -1.6020599913279623, 2.7755575615628914E-16, -15.556649761518965,0.025, -1.6020599913279623, 2.7755575615628914E-16, -15.556649761518965
0.028571428571428574, -1.5440680443502757, 0.005605714285713881, -2.2513690413063774,0.028571428571428574, -1.5440680443502757, 4.440892098500626E-16, -15.35252977886304,0.028571428571428574, -1.5440680443502757, 4.440892098500626E-16, -15.35252977886304
0.03333333333333333, -1.4771212547196624, 0.006539999999999713, -2.184422251675752,0.03333333333333333, -1.4771212547196624, 3.3306690738754696E-16, -15.47746851547134,0.03333333333333333, -1.4771212547196624, 2.220446049250313E-16, -15.653559774527022
0.04, -1.3979400086720375, 0.007847999999999578, -2.105241005628131,0.04, -1.3979400086720375, 2.220446049250313E-16, -15.653559774527022,0.04, -1.3979400086720375, 2.220446049250313E-16, -15.653559774527022
0.05, -1.3010299956639813, 0.009809999999999652, -2.008330992620067,0.05, -1.3010299956639813, 3.3306690738754696E-16, -15.47746851547134,0.05, -1.3010299956639813, 3.3306690738754696E-16, -15.47746851547134
0.06666666666666667, -1.1760912590556813, 0.013079999999999647, -1.8833922560117633,0.06666666666666667, -1.1760912590556813, 3.3306690738754696E-16, -15.47746851547134,0.06666666666666667, -1.1760912590556813, 3.3306690738754696E-16, -15.47746851547134
0.1, -1.0, 0.019619999999999693, -1.707300996956077,0.1, -1.0, 2.7755575615628914E-16, -15.556649761518965,0.1, -1.0, 3.885780586188048E-16, -15.410521725840727
0.2, -0.6989700043360187, 0.03923999999999972, -1.4062710012920923,0.2, -0.6989700043360187, 3.3306690738754696E-16, -15.47746851547134,0.2, -0.6989700043360187, 3.3306690738754696E-16, -15.47746851547134
