euler, , , , rk2, , , , rk4 , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
0.005, -2.3010299956639813, 0.0018057333798134761, -2.7433463737477557,0.005, -2.3010299956639813, 9.951792219993752E-6, -5.00209870004194,0.005, -2.3010299956639813, 1.0488224234611881E-11, -10.97929803615268
0.005050505050505051, -2.296665190261531, 0.0018240070839298226, -2.738973479326869,0.005050505050505051, -2.296665190261531, 1.0153728601300685E-5, -4.99337444902012,0.005050505050505051, -2.296665190261531, 1.091899009938131E-11, -10.961817527798699
0.00510204081632653, -2.292256071356476, 0.0018426544486720609, -2.7345560999981817,0.00510204081632653, -2.292256071356476, 1.0361874336604914E-5, -4.984561678913401,0.00510204081632653, -2.292256071356476, 1.1372838027837857E-11, -10.94413114603962
0.005154639175257732, -2.287801729930226, 0.0018616870541623008, -2.7300933212456324,0.005154639175257732, -2.287801729930226, 1.0576486635924262E-5, -4.97565857502613,0.005154639175257732, -2.287801729930226, 1.1849445451710754E-11, -10.926301973949018
0.005208333333333333, -2.2833012287035497, 0.001881116964054975, -2.725584200056,0.005208333333333333, -2.2833012287035497, 1.0797836169316914E-5, -4.966663266168481,0.005208333333333333, -2.2833012287035497, 1.2352356528644917E-11, -10.908250181695148
0.005263157894736842, -2.278753600952829, 0.0019009567510467496, -2.7210277637213047,0.005263157894736842, -2.278753600952829, 1.1026207913856132E-5, -4.957573822577855,0.005263157894736842, -2.278753600952829, 1.288186908086152E-11, -10.8900211189162
0.005319148936170213, -2.27415784926368, 0.0019212195240148433, -2.7164230085785537,0.005319148936170213, -2.27415784926368, 1.126190208219937E-5, -4.948388252997972,0.005319148936170213, -2.27415784926368, 1.3439302019376855E-11, -10.871623286118846
0.005376344086021506, -2.2695129442179165, 0.0019419189569064668, -2.711768898682775,0.005376344086021506, -2.2695129442179165, 1.1505235097917526E-5, -4.939104502533356,0.005376344086021506, -2.2695129442179165, 1.4027866737380368E-11, -10.853008368503057
0.005434782608695652, -2.2648178230095364, 0.001963069319522978, -2.707064364406729,0.005434782608695652, -2.2648178230095364, 1.1756540663564479E-5, -4.929720449666171,0.005434782608695652, -2.2648178230095364, 1.464831254423596E-11, -10.83421240226801
0.005494505494505495, -2.2600713879850747, 0.001984685510334279, -2.7023083009648787,0.005494505494505495, -2.2600713879850747, 1.2016170906416167E-5, -4.920233903310478,0.005494505494505495, -2.2600713879850747, 1.530351683341506E-11, -10.815208754421832
0.005555555555555556, -2.255272505103306, 0.0020067830914888125, -2.6974995668549906,0.005555555555555556, -2.255272505103306, 1.2284497613549158E-5, -4.910642599715015,0.005555555555555556, -2.255272505103306, 1.599546162154624E-11, -10.796003221863254
0.0056179775280898875, -2.250420002308894, 0.002029378326189939, -2.6926369822123677,0.0056179775280898875, -2.250420002308894, 1.2561913559251153E-5, -4.900944199378801,0.0056179775280898875, -2.250420002308894, 1.672705987979041E-11, -10.776580388397749
0.005681818181818182, -2.24551266781415, 0.0020524882186241412, -2.687719327071474,0.005681818181818182, -2.24551266781415, 1.284883394503019E-5, -4.891136283555812,0.005681818181818182, -2.24551266781415, 1.7501714994338662E-11, -10.756919392680308
0.005747126436781609, -2.2405492482826, 0.002076130556649802, -2.6827453395279304,0.005747126436781609, -2.2405492482826, 1.3145697953166401E-5, -4.8812163506636015,0.005747126436781609, -2.2405492482826, 1.8319736147768993E-11, -10.737080785602293
0.005813953488372093, -2.2355284469075487, 0.002100323957478196, -2.677713713792635,0.005813953488372093, -2.2355284469075487, 1.3452970436673514E-5, -4.871181812180251,0.005813953488372093, -2.2355284469075487, 1.9187939372614147E-11, -10.716971662427358
0.0058823529411764705, -2.230448921378274, 0.0021250879165812006, -2.6726230981330725,0.0058823529411764705, -2.230448921378274, 1.3771143723530723E-5, -4.861029989140963,0.0058823529411764705, -2.230448921378274, 2.0106535923749004E-11, -10.696662745852256
0.005952380952380952, -2.225309281725863, 0.002150442860103248, -2.6674720926920994,0.005952380952380952, -2.225309281725863, 1.4100739607538478E-5, -4.850758107270248,0.005952380952380952, -2.225309281725863, 2.1081495010193095E-11, -10.676098594045127
0.006024096385542169, -2.220108088040055, 0.002176410201070647, -2.662259247176026,0.006024096385542169, -2.220108088040055, 1.4442311477423626E-5, -4.840363292808465,0.006024096385542169, -2.220108088040055, 2.211629541002869E-11, -10.655287617770716
0.006097560975609756, -2.214843848047698, 0.0022030123997350344, -2.6569830584001415,0.006097560975609756, -2.214843848047698, 1.4796446646718482E-5, -4.82984256751091,0.006097560975609756, -2.214843848047698, 2.3214942687115754E-11, -10.63423238417959
0.006172839506172839, -2.2095150145426308, 0.002230273028378097, -2.6516419676873553,0.006172839506172839, -2.2095150145426308, 1.5163768878090177E-5, -4.819192843589775,0.006172839506172839, -2.2095150145426308, 2.4382350323409722E-11, -10.612924433119217
0.00625, -2.2041199826559246, 0.002258216841019671, -2.646234358098933,0.00625, -2.2041199826559246, 1.554494113257579E-5, -4.808410918255457,0.00625, -2.2041199826559246, 2.5623928067602622E-11, -10.591354293509356
0.006329113924050633, -2.1986570869544226, 0.0022868698484059817, -2.640758551496237,0.006329113924050633, -2.1986570869544226, 1.594066856215193E-5, -4.797493467960954,0.006329113924050633, -2.1986570869544226, 2.694609665795912E-11, -10.569504136699305
0.00641025641025641, -2.1931245983544616, 0.002316259398801557, -2.63521280541104,0.00641025641025641, -2.1931245983544616, 1.6351701777545343E-5, -4.786437042139039,0.00641025641025641, -2.1931245983544616, 2.835390183111747E-11, -10.547387168618563
