euler, , , , rk2, , , , rk4 , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
0.02, -1.6989700043360187, 0.004853345271008445, -2.313958811515985,0.02, -1.6989700043360187, 6.503718965667331E-5, -4.186838233449793,0.02, -1.6989700043360187, 8.481735850593702E-10, -9.071515257037344
0.022222222222222223, -1.6532125137753437, 0.005405638612309039, -2.26715299191998,0.022222222222222223, -1.6532125137753437, 8.030564082255875E-5, -4.0952539479707575,0.022222222222222223, -1.6532125137753437, 1.2871833014167256E-9, -8.890359602959379
0.025, -1.6020599913279623, 0.006099713883881157, -2.214690535737728,0.025, -1.6020599913279623, 1.0165801445769271E-4, -3.9928583770107373,0.025, -1.6020599913279623, 2.049132309633636E-9, -8.688429998900586
0.028571428571428574, -1.5440680443502757, 0.0069981757192258244, -2.1550151568899745,0.028571428571428574, -1.5440680443502757, 1.3281536600911773E-4, -3.876751676572538,0.028571428571428574, -1.5440680443502757, 3.465807158502084E-9, -8.460195605594507
0.03333333333333333, -1.4771212547196624, 0.008206819639620288, -2.085825110914316,0.03333333333333333, -1.4771212547196624, 1.8084936903379646E-4, -3.742683002111753,0.03333333333333333, -1.4771212547196624, 6.343944208688082E-9, -8.19764064504188
0.04, -1.3979400086720375, 0.009919601576059946, -2.0035057710709774,0.04, -1.3979400086720375, 2.6058339811114127E-4, -3.5840532568444448,0.04, -1.3979400086720375, 1.2927249406222492E-8, -7.888493872240836
0.05, -1.3010299956639813, 0.012534476787303092, -1.901893789598029,0.05, -1.3010299956639813, 4.075839018157253E-4, -3.3897829774886357,0.05, -1.3010299956639813, 3.0722364116206335E-8, -7.512545367966101
0.06666666666666667, -1.1760912590556813, 0.017016440166159472, -1.7691312890161315,0.06666666666666667, -1.1760912590556813, 7.260734229487472E-4, -3.139019459783153,0.06666666666666667, -1.1760912590556813, 9.270754324466525E-8, -7.032884927600346
0.1, -1.0, 0.026458533600336624, -1.5774342291934782,0.1, -1.0, 0.0016423615378366979, -2.784531234181105,0.1, -1.0, 4.262584641965097E-7, -6.3703269841464465
0.2, -0.6989700043360187, 0.05890949789525474, -1.2298146788808715,0.2, -0.6989700043360187, 0.006747196604760214, -2.1708766348693875,0.2, -0.6989700043360187, 5.310381983967861E-6, -5.274874238322902
