euler, , , , rk2, , , , rk4 , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
0.02, -1.6989700043360187, 0.001961999999999464, -2.7073009969561888,0.02, -1.6989700043360187, 6.106226635438361E-16, -15.214227080696759,0.02, -1.6989700043360187, 6.106226635438361E-16, -15.214227080696759
0.022222222222222223, -1.6532125137753437, 0.0021799999999996267, -2.6615435063954695,0.022222222222222223, -1.6532125137753437, 3.3306690738754696E-16, -15.47746851547134,0.022222222222222223, -1.6532125137753437, 3.3306690738754696E-16, -15.47746851547134
0.025, -1.6020599913279623, 0.002452499999999358, -2.6103909839481276,0.025, -1.6020599913279623, 6.106226635438361E-16, -15.214227080696759,0.025, -1.6020599913279623, 6.106226635438361E-16, -15.214227080696759
0.028571428571428574, -1.5440680443502757, 0.0028028571428567184, -2.552399036970393,0.028571428571428574, -1.5440680443502757, 6.661338147750939E-16, -15.176438519807359,0.028571428571428574, -1.5440680443502757, 6.661338147750939E-16, -15.176438519807359
0.03333333333333333, -1.4771212547196624, 0.003269999999999329, -2.485452247339803,0.03333333333333333, -1.4771212547196624, 6.106226635438361E-16, -15.214227080696759,0.03333333333333333, -1.4771212547196624, 6.106226635438361E-16, -15.214227080696759
0.04, -1.3979400086720375, 0.003923999999999539, -2.40627100129214,0.04, -1.3979400086720375, 5.551115123125783E-16, -15.255619765854984,0.04, -1.3979400086720375, 5.551115123125783E-16, -15.255619765854984
0.05, -1.3010299956639813, 0.004904999999999549, -2.3093609882840727,0.05, -1.3010299956639813, 3.885780586188048E-16, -15.410521725840727,0.05, -1.3010299956639813, 6.106226635438361E-16, -15.214227080696759
0.06666666666666667, -1.1760912590556813, 0.006539999999999491, -2.1844222516757665,0.06666666666666667, -1.1760912590556813, 5.551115123125783E-16, -15.255619765854984,0.06666666666666667, -1.1760912590556813, 3.885780586188048E-16, -15.410521725840727
0.1, -1.0, 0.009809999999999541, -2.008330992620072,0.1, -1.0, 4.440892098500626E-16, -15.35252977886304,0.1, -1.0, 3.885780586188048E-16, -15.410521725840727
0.2, -0.6989700043360187, 0.019619999999999582, -1.7073009969560795,0.2, -0.6989700043360187, 3.885780586188048E-16, -15.410521725840727,0.2, -0.6989700043360187, 6.106226635438361E-16, -15.214227080696759
