euler, , , , rk2, , , , rk4 , , ,
h, log(h), e, log(e), h, log(h), e, log(e), h, log(h), e, log(e)
1.0E-4, -4.0, 1.2400008467435117E-4, -3.906578018276548,1.0E-4, -4.0, 9.022595177514879E-7, -6.044668527960448,1.0E-4, -4.0, 8.986873745389145E-7, -6.046391359574072
0.001, -3.0, 0.0012389790286038557, -2.906936044583342,0.001, -3.0, 1.4578223510338245E-6, -5.836295395542304,0.001, -3.0, 8.986873128197985E-7, -6.046391389400097
0.01, -2.0, 0.012229198916095625, -1.9126019908552854,0.01, -2.0, 8.23740827287449E-5, -4.084209408429041,0.01, -2.0, 8.980984679481869E-7, -6.046676044466194
